thick,crossplane,y,x,r,temp
3.16228e-05,7.54139,2,1,0.5,500
3.98107e-05,7.55726,2,1,0.5,500
5.01187e-05,7.57001,2,1,0.5,500
6.30957e-05,7.58022,2,1,0.5,500
7.94328e-05,7.58839,2,1,0.5,500
0.0001,7.59491,2,1,0.5,500
1.25893e-09,0.838971,1,1,0.6,500
1.58489e-09,0.938698,1,1,0.6,500
1.99526e-09,1.04488,1,1,0.6,500
2.51189e-09,1.15768,1,1,0.6,500
3.16228e-09,1.27736,1,1,0.6,500
3.98107e-09,1.40428,1,1,0.6,500
5.01187e-09,1.5389,1,1,0.6,500
6.30957e-09,1.68178,1,1,0.6,500
7.94328e-09,1.83354,1,1,0.6,500
1e-08,1.99484,1,1,0.6,500
1.25893e-08,2.16635,1,1,0.6,500
1.58489e-08,2.34871,1,1,0.6,500
1.99526e-08,2.54244,1,1,0.6,500
2.51189e-08,2.74797,1,1,0.6,500
3.16228e-08,2.96553,1,1,0.6,500
3.98107e-08,3.19519,1,1,0.6,500
5.01187e-08,3.4368,1,1,0.6,500
6.30957e-08,3.68998,1,1,0.6,500
7.94328e-08,3.95413,1,1,0.6,500
1e-07,4.22843,1,1,0.6,500
1.25893e-07,4.51182,1,1,0.6,500
1.58489e-07,4.80296,1,1,0.6,500
1.99526e-07,5.10026,1,1,0.6,500
2.51189e-07,5.40183,1,1,0.6,500
3.16228e-07,5.70548,1,1,0.6,500
3.98107e-07,6.00873,1,1,0.6,500
5.01187e-07,6.30891,1,1,0.6,500
6.30957e-07,6.60314,1,1,0.6,500
7.94328e-07,6.88848,1,1,0.6,500
1e-06,7.16199,1,1,0.6,500
1.25893e-06,7.42084,1,1,0.6,500
1.58489e-06,7.66253,1,1,0.6,500
1.99526e-06,7.88496,1,1,0.6,500
2.51189e-06,8.08664,1,1,0.6,500
3.16228e-06,8.26678,1,1,0.6,500
3.98107e-06,8.42534,1,1,0.6,500
5.01187e-06,8.56295,1,1,0.6,500
6.30957e-06,8.68083,1,1,0.6,500
7.94328e-06,8.78062,1,1,0.6,500
